Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,6,9,Some Random Commen with Id 0
1,0,4,173,5,Some Random Commen with Id 1
2,0,4,43,6,Some Random Commen with Id 2
3,0,4,191,9,Some Random Commen with Id 3
4,0,4,4,6,Some Random Commen with Id 4
5,0,4,175,8,Some Random Commen with Id 5
6,0,4,38,6,Some Random Commen with Id 6
7,0,4,108,4,Some Random Commen with Id 7
8,1,6,107,6,Some Random Commen with Id 8
9,1,6,0,5,Some Random Commen with Id 9
10,2,0,146,8,Some Random Commen with Id 10
11,2,0,66,7,Some Random Commen with Id 11
12,2,0,125,2,Some Random Commen with Id 12
13,2,0,188,0,Some Random Commen with Id 13
14,2,0,178,5,Some Random Commen with Id 14
15,2,0,127,9,Some Random Commen with Id 15
16,3,0,149,4,Some Random Commen with Id 16
17,3,0,73,5,Some Random Commen with Id 17
18,4,0,179,1,Some Random Commen with Id 18
19,4,0,193,5,Some Random Commen with Id 19
20,5,9,21,5,Some Random Commen with Id 20
21,6,4,162,7,Some Random Commen with Id 21
22,6,4,99,2,Some Random Commen with Id 22
23,6,4,15,6,Some Random Commen with Id 23
24,6,4,16,0,Some Random Commen with Id 24
25,6,4,1,6,Some Random Commen with Id 25
26,6,4,157,9,Some Random Commen with Id 26
27,6,4,137,2,Some Random Commen with Id 27
28,6,4,79,8,Some Random Commen with Id 28
29,7,5,87,1,Some Random Commen with Id 29
30,7,5,98,1,Some Random Commen with Id 30
31,7,5,20,6,Some Random Commen with Id 31
32,9,2,9,1,Some Random Commen with Id 32
33,9,2,168,5,Some Random Commen with Id 33
34,10,8,85,4,Some Random Commen with Id 34
35,10,8,103,6,Some Random Commen with Id 35
36,10,8,72,0,Some Random Commen with Id 36
37,10,8,65,2,Some Random Commen with Id 37
38,10,8,43,2,Some Random Commen with Id 38
39,10,8,128,7,Some Random Commen with Id 39
40,10,8,170,2,Some Random Commen with Id 40
41,10,8,158,4,Some Random Commen with Id 41
42,10,8,144,6,Some Random Commen with Id 42
43,11,7,21,1,Some Random Commen with Id 43
44,11,7,59,5,Some Random Commen with Id 44
45,11,7,77,4,Some Random Commen with Id 45
46,11,7,91,7,Some Random Commen with Id 46
47,11,7,44,5,Some Random Commen with Id 47
48,11,7,137,2,Some Random Commen with Id 48
49,11,7,6,8,Some Random Commen with Id 49
50,12,2,123,2,Some Random Commen with Id 50
51,12,2,57,4,Some Random Commen with Id 51
52,12,2,31,4,Some Random Commen with Id 52
53,12,2,46,5,Some Random Commen with Id 53
54,13,6,34,3,Some Random Commen with Id 54
55,13,6,24,3,Some Random Commen with Id 55
56,13,6,74,5,Some Random Commen with Id 56
57,13,6,35,8,Some Random Commen with Id 57
58,13,6,32,4,Some Random Commen with Id 58
59,13,6,170,9,Some Random Commen with Id 59
60,13,6,175,0,Some Random Commen with Id 60
61,13,6,93,1,Some Random Commen with Id 61
62,14,6,88,4,Some Random Commen with Id 62
63,14,6,32,9,Some Random Commen with Id 63
64,14,6,140,6,Some Random Commen with Id 64
65,14,6,109,4,Some Random Commen with Id 65
66,14,6,174,9,Some Random Commen with Id 66
67,14,6,9,0,Some Random Commen with Id 67
68,14,6,133,1,Some Random Commen with Id 68
69,14,6,186,2,Some Random Commen with Id 69
70,14,6,85,6,Some Random Commen with Id 70
71,15,3,88,7,Some Random Commen with Id 71
72,15,3,163,5,Some Random Commen with Id 72
73,15,3,172,9,Some Random Commen with Id 73
74,15,3,169,1,Some Random Commen with Id 74
75,15,3,136,6,Some Random Commen with Id 75
76,15,3,34,3,Some Random Commen with Id 76
77,15,3,8,9,Some Random Commen with Id 77
78,16,4,128,2,Some Random Commen with Id 78
79,16,4,120,0,Some Random Commen with Id 79
80,16,4,164,5,Some Random Commen with Id 80
81,17,4,54,6,Some Random Commen with Id 81
82,17,4,131,4,Some Random Commen with Id 82
83,17,4,193,7,Some Random Commen with Id 83
84,17,4,21,0,Some Random Commen with Id 84
85,17,4,90,2,Some Random Commen with Id 85
86,18,2,63,1,Some Random Commen with Id 86
87,18,2,141,9,Some Random Commen with Id 87
88,18,2,160,5,Some Random Commen with Id 88
89,18,2,8,2,Some Random Commen with Id 89
90,18,2,153,4,Some Random Commen with Id 90
91,19,6,25,3,Some Random Commen with Id 91
92,19,6,39,5,Some Random Commen with Id 92
93,19,6,45,4,Some Random Commen with Id 93
94,19,6,162,7,Some Random Commen with Id 94
95,19,6,62,0,Some Random Commen with Id 95
96,19,6,56,3,Some Random Commen with Id 96
97,21,4,45,5,Some Random Commen with Id 97
98,21,4,50,6,Some Random Commen with Id 98
99,21,4,103,3,Some Random Commen with Id 99
100,23,5,109,3,Some Random Commen with Id 100
101,23,5,193,3,Some Random Commen with Id 101
102,23,5,1,3,Some Random Commen with Id 102
103,23,5,61,1,Some Random Commen with Id 103
104,24,9,173,7,Some Random Commen with Id 104
105,25,7,193,6,Some Random Commen with Id 105
106,25,7,13,7,Some Random Commen with Id 106
107,25,7,81,4,Some Random Commen with Id 107
108,25,7,117,9,Some Random Commen with Id 108
